# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 702
0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0 000002_9223372199154788468_1768981867461490118_cam0_p+0_y+30_r+0.jpg

109 -0.557766001272396 0.4838057943225009 0.6490685396416189 -0.18313675778519087 1.598306274233073 0.10023517892202305 1.0997390652975179 109 000143_9223372206204785805_1768981874509834579_cam0_p+30_y+0_r+0.jpg

110 0.7758356553049828 -0.5289066869451767 -0.3326532337194268 -0.08762749886977934 1.5832312652200387 0.07573533441132946 1.0807053278990695 110 000143_9223372206204785805_1768981874509834579_cam0_p-30_y+0_r+0.jpg

111 0.7592239932879494 -0.30636358333983854 -0.5435133325331659 0.18523914321159493 1.5251751741755941 0.11182532624051755 1.1944356464195804 111 000152_9223372206654788055_1768981874961445126_cam0_p+0_y+30_r+0.jpg

112 -0.5556078110620545 0.3946384654541746 0.7069906831457726 -0.1890095654084218 1.544942665146123 0.1224742225829405 1.1867419171451674 112 000152_9223372206654788055_1768981874961445126_cam0_p+30_y+0_r+0.jpg

113 0.7808916186882212 -0.4958379497455644 -0.378381893349227 -0.0343533148336365 1.5358112093925897 0.09365117992809896 1.171860458393858 113 000152_9223372206654788055_1768981874961445126_cam0_p-30_y+0_r+0.jpg

114 0.7199302517605185 -0.29365334043963337 -0.6154541130168438 0.12916804178794136 1.2512998131302375 0.18453551301183524 1.5183000557764148 114 000182_9223372208204785306_1768981876510021410_cam0_p+0_y+30_r+0.jpg

115 -0.5395608524703404 0.363885417235503 0.7510303613423098 -0.11142210708321292 1.2582345222401348 0.1842199431820638 1.5224880294153393 115 000182_9223372208204785306_1768981876510021410_cam0_p+30_y+0_r+0.jpg

116 0.7472662326833289 -0.4935657545762977 -0.43074461429805505 -0.11155761136746656 1.27125954991363 0.16324239152281678 1.5037859331738896 116 000182_9223372208204785306_1768981876510021410_cam0_p-30_y+0_r+0.jpg

